SID,2008-08-23,2008-08-25,2008-09-01,2008-09-08,2008-09-15,2008-09-22,2008-09-29,2008-10-06,2008-10-13,2008-10-20,2008-10-27,2008-11-03,2008-11-10,2008-11-17,2008-11-24,2008-12-01,2008-12-08,2008-12-15
03576317,0,1,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3
03576933,0,0,0,0,0,0,0,0,0,0,0,2,2,3,3,3,4,4
03576934,0,2,3,3,4,4,4,4,4,4,5,5,5,5,5,5,5,5
03577558,2,3,3,4,4,4,6,6,6,6,7,8,9,10,10,11,11,11
03583492,2,3,4,5,5,6,7,8,8,8,9,10,10,10,10,11,11,11
03584153,0,2,3,3,4,5,6,6,7,8,9,9,10,10,10,11,12,12
03585183,2,2,3,6,6,8,9,9,9,9,9,9,9,9,9,9,10,10
03587139,0,0,2,3,4,6,6,7,7,7,8,9,9,9,9,9,9,9
03592140,2,3,5,5,6,7,8,8,9,9,10,11,12,13,13,13,14,14
03592890,2,3,4,5,6,7,8,8,8,9,9,11,11,11,11,12,12,12
03595599,0,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
03596773,2,2,3,3,4,4,5,6,6,7,7,9,9,10,10,11,11,11
03598085,2,4,5,6,7,8,9,9,10,12,14,14,15,17,17,18,19,19
03598879,0,2,2,3,3,3,4,4,5,5,5,6,6,6,6,6,7,7
03599014,0,0,0,1,2,2,2,2,2,2,2,2,2,2,2,2,3,3
03599050,0,2,4,4,6,6,7,8,9,10,10,11,12,12,12,13,13,13
03599973,0,2,2,3,3,4,4,4,5,5,5,5,6,6,6,6,6,6
03600547,2,4,4,5,6,8,8,9,10,11,11,13,14,14,14,14,15,15
03600836,0,2,4,4,5,6,7,7,9,10,12,12,13,15,15,16,17,17
03601997,2,4,5,7,7,8,9,9,9,10,10,11,11,12,12,13,13,14
03602569,2,4,4,4,5,6,6,7,7,8,8,9,10,10,10,11,11,11
03605571,0,2,2,3,3,4,4,4,4,4,4,5,5,5,5,5,6,6
03607996,0,2,3,4,5,5,5,6,6,6,6,6,6,6,6,6,8,8
03608444,0,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3
03608794,1,2,2,3,3,4,4,4,4,4,4,5,5,5,5,6,6,7
03614751,2,4,5,7,7,7,8,8,9,9,9,10,10,10,10,11,12,12
03617316,0,2,2,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4
03617518,2,3,4,4,6,7,7,8,9,9,10,11,11,12,12,12,13,13
03619361,2,4,5,6,7,8,8,9,10,11,11,13,13,14,14,14,15,16
03619579,1,2,2,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4
03620578,1,3,4,7,8,8,8,8,9,10,10,11,11,12,12,12,13,13
03622252,0,3,3,3,3,4,4,4,5,5,5,5,5,5,5,5,5,5
03622837,2,3,4,5,5,5,6,6,7,7,10,10,10,10,10,10,11,11
03626305,2,4,5,7,8,10,11,13,14,14,15,17,17,19,19,19,20,20
03627314,0,2,2,3,3,4,5,5,5,5,5,5,6,6,6,6,6,7
03628064,1,3,4,5,7,7,8,9,11,11,11,11,11,12,12,12,12,13
03631043,0,3,3,3,3,4,4,4,5,5,5,5,5,5,5,5,5,5
03631972,0,2,3,4,4,4,4,5,5,5,5,5,6,6,6,6,6,6
03633090,0,2,2,2,3,3,4,4,4,5,5,6,6,6,6,6,6,6
03633114,0,2,3,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5
03633193,2,5,5,6,7,8,9,9,10,10,11,12,13,13,13,14,14,15
03635708,0,4,4,6,8,8,9,10,11,11,11,11,12,12,12,13,13,13
03635895,2,4,6,8,10,12,14,15,16,18,18,20,22,22,22,24,25,25
03635907,2,2,3,4,5,5,6,6,7,8,8,9,10,10,10,10,10,11
03636040,2,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
03640949,1,2,3,4,5,6,6,6,8,9,10,10,10,10,10,10,11,11
03642305,0,3,3,4,5,6,6,7,8,8,8,8,9,9,9,10,11,11
03642807,2,3,4,5,6,7,8,9,9,9,10,10,11,11,11,12,12,12
03643413,2,3,4,5,6,6,7,8,8,8,9,9,10,10,10,10,10,10
03643606,2,4,5,7,8,9,9,10,11,12,13,14,15,16,16,16,17,17
03645008,2,4,4,5,6,7,8,9,10,11,12,12,12,12,12,13,14,14
03646099,2,3,4,5,6,6,6,7,8,9,10,10,10,10,10,11,11,12
03649648,0,1,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3
03650725,0,1,2,3,3,3,3,3,4,4,4,5,5,5,5,7,7,7
03651937,1,4,5,6,7,8,9,10,10,11,12,13,13,13,13,13,14,14
03652834,2,4,5,5,6,7,8,9,9,10,10,11,11,12,12,13,14,14
03654788,1,2,2,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5
03658281,2,3,5,5,7,8,9,10,12,13,14,15,16,17,17,18,19,20
03662829,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
03663444,2,3,4,4,5,5,6,6,7,8,9,9,10,11,11,11,12,12
03663986,0,2,3,5,6,7,8,8,8,8,8,8,8,8,8,8,8,8
03664111,2,3,4,5,6,6,7,7,8,9,10,11,11,11,11,12,12,13
03666824,3,4,5,6,8,9,10,10,12,13,13,15,15,16,16,17,17,17
03667513,2,4,4,5,6,7,8,9,10,11,11,12,13,13,13,14,15,15
03668734,0,3,3,4,6,7,8,9,9,10,11,11,12,12,12,12,13,13
03670229,2,3,4,6,7,7,8,9,10,11,12,13,14,14,14,15,16,16
03670941,2,5,6,6,6,6,6,7,8,8,9,10,10,10,10,10,11,12
03671741,2,3,5,5,6,7,7,7,8,8,8,8,9,10,10,10,10,10
03672900,0,2,3,4,4,5,6,6,6,7,8,9,9,10,10,10,11,11
03673610,2,4,4,5,5,6,7,7,8,10,10,11,11,11,11,11,12,12
03673817,2,3,4,4,5,5,6,6,6,6,6,6,6,7,7,7,7,8
03681115,2,3,4,5,6,7,8,10,11,13,14,15,15,15,15,16,16,17
03685361,1,3,4,4,5,6,7,7,8,9,9,9,10,10,10,10,11,11
03686533,0,3,5,6,7,8,9,10,11,11,12,13,14,14,14,15,16,16
03688276,0,3,3,4,5,5,6,6,6,7,8,8,8,8,8,8,8,8
03688816,1,3,4,5,5,5,5,6,6,6,7,7,7,8,8,8,8,8
03690892,0,1,2,3,4,4,4,4,5,5,5,5,6,6,6,6,6,6
03691550,2,3,3,4,5,5,5,5,5,6,6,6,6,7,7,8,8,8
03693662,1,3,5,5,6,6,6,7,7,7,8,8,8,8,8,8,8,9
03694534,2,2,3,4,5,5,6,6,7,7,7,7,7,7,7,7,7,7
